ID,Category,Occupation
PA00096,Type11,Economically Inactive
PA00097,Type3,Associate Professionals and Technicians
PA00098,Type15,Clerical Support Workers
PA00099,Type10,Professionals
PA00100,Type12,Economically Inactive
PA00101,Type10,Economically Inactive
PA00102,Type3,Economically Inactive
PA00103,Type2,Clerical Support Workers
PA00103,Type9,Clerical Support Workers
PA00104,Type12,"Cleaners, Labourers and Related Workers"
PA00105,Type9,Service and Sales Workers
PA00106,Type10,"Legislators, Senior Officials & Managers"
PA00106,Type15,"Legislators, Senior Officials & Managers"
PA00107,Type3,Economically Inactive
PA00107,Type12,Economically Inactive
PA00107,Type11,Economically Inactive
PA00108,Type3,Economically Inactive
PA00108,Type12,Economically Inactive
PA00108,Type11,Economically Inactive
PA00108,Type5,Economically Inactive
PA00109,Type9,"Cleaners, Labourers and Related Workers"
PA00110,Type2,Professionals
PA00110,Type9,Professionals
PA00111,Type11,Economically Inactive
PA00112,Type9,Service and Sales Workers
PA00112,Type3,Service and Sales Workers
PA00112,Type12,Service and Sales Workers
PA00113,Type12,Associate Professionals and Technicians
PA00114,Type5,Plant & Machine Operators & Assemblers
PA00114,Type10,Plant & Machine Operators & Assemblers
PA00115,Type9,Economically Inactive
PA00116,Type10,Economically Inactive
PA00117,Type12,Associate Professionals and Technicians
PA00117,Type11,Associate Professionals and Technicians
PA00118,Type11,Economically Inactive
PA00119,Type3,Clerical Support Workers
PA00120,Type15,Professionals
PA00121,Type12,Associate Professionals and Technicians
PA00121,Type11,Associate Professionals and Technicians
PA00122,Type12,Service and Sales Workers
PA00122,Type3,Service and Sales Workers
PA00122,Type6,Service and Sales Workers
PA00123,Type13,Economically Inactive
PA00124,Type3,Service and Sales Workers
PA00125,Type9,"Legislators, Senior Officials & Managers"
PA00126,Type13,Professionals
PA00127,Type12,Economically Inactive
PA00128,Type7,Economically Inactive
PA00129,Type12,Economically Inactive
PA00130,Type12,Service and Sales Workers
PA00131,Type12,Economically Inactive
PA00131,Type11,Economically Inactive
PA00132,Type12,Economically Inactive
PA00133,Type6,Service and Sales Workers
PA00134,Type11,Plant & Machine Operators & Assemblers
PA00135,Type15,"Cleaners, Labourers and Related Workers"
PA00135,Type12,"Cleaners, Labourers and Related Workers"
PA00136,Type3,Economically Inactive
PA00137,Type11,Service and Sales Workers
PA00138,Type9,Service and Sales Workers
PA00139,Type5,Economically Inactive
PA00140,Type13,Service and Sales Workers
PA00141,Type12,"Legislators, Senior Officials & Managers"
PA00142,Type13,Associate Professionals and Technicians
PA00143,Type12,Economically Inactive
PA00144,Type5,"Legislators, Senior Officials & Managers"
PA00144,Type10,"Legislators, Senior Officials & Managers"
PA00145,Type15,Economically Inactive
PA00146,Type12,Economically Inactive
PA00146,Type12,Economically Inactive
PA00147,Type3,Economically Inactive
PA00148,Type10,Others
PA00148,Type5,Others
PA00149,Type12,Associate Professionals and Technicians
PA00150,Type5,Associate Professionals and Technicians
PA00150,Type8,Associate Professionals and Technicians
PA00151,Type11,Economically Inactive
PA00152,Type12,Economically Inactive
PA00153,Type11,Clerical Support Workers
PA00154,Type12,"Legislators, Senior Officials & Managers"
PA00155,Type12,Associate Professionals and Technicians
PA00156,Type5,Economically Inactive
PA00157,Type12,Service and Sales Workers
PA00158,Type12,Economically Inactive
PA00158,Type6,Economically Inactive
PA00159,Type8,Clerical Support Workers
PA00159,Type3,Clerical Support Workers
PA00159,Type12,Clerical Support Workers
PA00160,Type8,Clerical Support Workers
PA00161,Type15,Economically Inactive
PA00162,Type12,Economically Inactive
PA00163,Type11,Economically Inactive
PA00164,Type15,"Legislators, Senior Officials & Managers"
PA00165,Type11,Clerical Support Workers
PA00166,Type15,Service and Sales Workers
PA00167,Type2,"Legislators, Senior Officials & Managers"
PA00168,Type3,Service and Sales Workers
PA00169,Type12,Economically Inactive
PA00170,Type12,Economically Inactive
PA00171,Type12,"Legislators, Senior Officials & Managers"
PA00171,Type14,"Legislators, Senior Officials & Managers"
PA00172,Type3,Professionals
PA00173,Type2,Economically Inactive
PA00173,Type8,Economically Inactive
PA00174,Type10,Professionals
PA00175,Type12,Economically Inactive
PA00175,Type11,Economically Inactive
PA00175,Type2,Economically Inactive
PA00176,Type10,Professionals
PA00176,Type2,Professionals
PA00177,Type10,Economically Inactive
PA00177,Type5,Economically Inactive
PA00178,Type12,"Legislators, Senior Officials & Managers"
PA00178,Type11,"Legislators, Senior Officials & Managers"
PA00179,Type2,Professionals
PA00180,Type2,"Legislators, Senior Officials & Managers"
PA00181,Type10,Associate Professionals and Technicians
PA00182,Type2,"Legislators, Senior Officials & Managers"
PA00183,Type10,Others
PA00184,Type3,Economically Inactive
PA00185,Type5,"Legislators, Senior Officials & Managers"
PA00185,Type10,"Legislators, Senior Officials & Managers"
PA00186,Type10,Economically Inactive
PA00187,Type12,"Legislators, Senior Officials & Managers"
PA00188,Type8,Clerical Support Workers
PA00188,Type13,Clerical Support Workers
PA00189,Type2,Economically Inactive
PA00190,Type5,Professionals
PA00191,Type10,Economically Inactive
PA00192,Type3,Clerical Support Workers
PA00192,Type12,Clerical Support Workers
PA00193,Type3,Clerical Support Workers
PA00194,Type15,"Legislators, Senior Officials & Managers"
PA00195,Type10,Economically Inactive
PA00196,Type5,Economically Inactive
PA00196,Type3,Economically Inactive
PA00196,Type12,Economically Inactive
PA00197,Type10,"Legislators, Senior Officials & Managers"
PA00198,Type3,"Legislators, Senior Officials & Managers"
PA00199,Type7,"Cleaners, Labourers and Related Workers"
PA00200,Type12,"Legislators, Senior Officials & Managers"
PA00201,Type15,Economically Inactive
PA00201,Type10,Economically Inactive
PA00202,Type12,Economically Inactive
PA00203,Type5,Economically Inactive
PA00203,Type15,Economically Inactive
PA00204,Type3,Economically Inactive
PA00205,Type10,Clerical Support Workers
PA00206,Type13,Associate Professionals and Technicians
PA00207,Type10,Professionals
PA00208,Type3,"Legislators, Senior Officials & Managers"
PA00209,Type10,Others
PA00210,Type12,Associate Professionals and Technicians
PA00211,Type12,Professionals
PA00212,Type5,Clerical Support Workers
PA00213,Type12,Service and Sales Workers
PA00214,Type13,Economically Inactive
PA00215,Type10,Professionals
PA00216,Type12,Economically Inactive
PA00216,Type11,Economically Inactive
PA00217,Type12,Economically Inactive
PA00218,Type12,"Legislators, Senior Officials & Managers"
PA00219,Type12,Associate Professionals and Technicians
PA00219,Type11,Associate Professionals and Technicians
PA00220,Type6,Professionals
PA00221,Type6,Service and Sales Workers
PA00222,Type5,"Legislators, Senior Officials & Managers"
PA00223,Type12,Service and Sales Workers
PA00224,Type12,Economically Inactive
PA00225,Type6,"Legislators, Senior Officials & Managers"
PA00226,Type2,"Legislators, Senior Officials & Managers"
PA00227,Type10,"Legislators, Senior Officials & Managers"
PA00228,Type15,"Legislators, Senior Officials & Managers"
PA00229,Type3,Service and Sales Workers
PA00230,Type11,Economically Inactive
PA00231,Type13,Associate Professionals and Technicians
PA00232,Type12,Economically Inactive
PA00233,Type5,Associate Professionals and Technicians
PA00234,Type15,Economically Inactive
PA00235,Type3,Associate Professionals and Technicians
PA00236,Type15,Economically Inactive
PA00236,Type3,Economically Inactive
PA00237,Type6,"Legislators, Senior Officials & Managers"
PA00238,Type12,"Legislators, Senior Officials & Managers"
PA00239,Type12,"Legislators, Senior Officials & Managers"
PA00240,Type12,"Legislators, Senior Officials & Managers"
PA00240,Type11,"Legislators, Senior Officials & Managers"
PA00241,Type8,Professionals
PA00242,Type12,Economically Inactive
PA00243,Type11,"Cleaners, Labourers and Related Workers"
PA00244,Type6,"Legislators, Senior Officials & Managers"
PA00245,Type9,Others
PA00246,Type15,Economically Inactive
PA00247,Type10,Professionals
PA00248,Type13,Economically Inactive
PA00249,Type8,"Legislators, Senior Officials & Managers"
PA00250,Type8,Economically Inactive
PA00251,Type6,Clerical Support Workers
PA00251,Type11,Clerical Support Workers
PA00252,Type11,Economically Inactive
PA00253,Type7,Economically Inactive
PA00254,Type8,"Legislators, Senior Officials & Managers"
PA00255,Type15,Associate Professionals and Technicians
PA00256,Type12,Economically Inactive
PA00257,Type5,"Legislators, Senior Officials & Managers"
PA00257,Type12,"Legislators, Senior Officials & Managers"
PA00258,Type3,Economically Inactive
PA00259,Type3,Economically Inactive
PA00259,Type12,Economically Inactive
PA00260,Type2,"Legislators, Senior Officials & Managers"
PA00260,Type2,"Legislators, Senior Officials & Managers"
PA00261,Type10,Service and Sales Workers
PA00262,Type2,Associate Professionals and Technicians
PA00263,Type9,Service and Sales Workers
PA00263,Type3,Service and Sales Workers
PA00263,Type12,Service and Sales Workers
PA00264,Type2,"Legislators, Senior Officials & Managers"
PA00265,Type12,Associate Professionals and Technicians
PA00266,Type12,Service and Sales Workers
PA00267,Type12,"Legislators, Senior Officials & Managers"
PA00268,Type10,Economically Inactive
PA00269,Type10,"Legislators, Senior Officials & Managers"
PA00270,Type12,Service and Sales Workers
PA00270,Type2,Service and Sales Workers
PA00271,Type12,Others
PA00271,Type5,Others
PA00272,Type6,"Legislators, Senior Officials & Managers"
PA00272,Type10,"Legislators, Senior Officials & Managers"
PA00273,Type12,Service and Sales Workers
PA00273,Type11,Service and Sales Workers
PA00274,Type12,Associate Professionals and Technicians
PA00275,Type9,Economically Inactive
PA00275,Type12,Economically Inactive
PA00276,Type3,Associate Professionals and Technicians
PA00277,Type12,Clerical Support Workers
PA00278,Type2,Associate Professionals and Technicians
PA00278,Type15,Associate Professionals and Technicians
PA00279,Type9,Economically Inactive
PA00280,Type2,Plant & Machine Operators & Assemblers
PA00280,Type13,Plant & Machine Operators & Assemblers
PA00281,Type12,Associate Professionals and Technicians
PA00282,Type12,Associate Professionals and Technicians
PA00283,Type12,Economically Inactive
PA00283,Type11,Economically Inactive
PA00284,Type12,Economically Inactive
PA00285,Type12,Clerical Support Workers
PA00286,Type9,"Legislators, Senior Officials & Managers"
PA00287,Type9,Associate Professionals and Technicians
PA00287,Type3,Associate Professionals and Technicians
PA00287,Type9,Associate Professionals and Technicians
PA00288,Type2,"Legislators, Senior Officials & Managers"
PA00288,Type9,"Legislators, Senior Officials & Managers"
PA00289,Type12,Service and Sales Workers
PA00290,Type12,Service and Sales Workers
PA00291,Type12,Economically Inactive
PA00291,Type11,Economically Inactive
PA00292,Type10,"Legislators, Senior Officials & Managers"
PA00293,Type12,Associate Professionals and Technicians
PA00294,Type6,Economically Inactive
PA00295,Type12,"Legislators, Senior Officials & Managers"
PA00296,Type13,Service and Sales Workers
PA00297,Type12,Associate Professionals and Technicians
PA00298,Type13,"Legislators, Senior Officials & Managers"
PA00299,Type6,"Cleaners, Labourers and Related Workers"
PA00300,Type12,Economically Inactive
PA00301,Type8,Associate Professionals and Technicians
PA00301,Type3,Associate Professionals and Technicians
PA00301,Type6,Associate Professionals and Technicians
PA00301,Type14,Associate Professionals and Technicians
PA00302,Type11,Economically Inactive
PA00303,Type13,Associate Professionals and Technicians
PA00304,Type3,Associate Professionals and Technicians
PA00304,Type12,Associate Professionals and Technicians
PA00305,Type13,Economically Inactive
PA00306,Type12,"Legislators, Senior Officials & Managers"
PA00307,Type12,"Legislators, Senior Officials & Managers"
PA00307,Type3,"Legislators, Senior Officials & Managers"
PA00308,Type12,Others
PA00309,Type5,Economically Inactive
PA00310,Type12,"Legislators, Senior Officials & Managers"
PA00311,Type13,Professionals
PA00312,Type6,Economically Inactive
PA00312,Type12,Economically Inactive
PA00312,Type15,Economically Inactive
PA00313,Type12,Service and Sales Workers
PA00314,Type11,Service and Sales Workers
PA00315,Type12,Service and Sales Workers
PA00316,Type12,Associate Professionals and Technicians
PA00317,Type11,Economically Inactive
PA00318,Type15,Economically Inactive
PA00319,Type7,Economically Inactive
PA00320,Type3,Economically Inactive
PA00321,Type15,Clerical Support Workers
PA00322,Type13,Economically Inactive
PA00322,Type7,Economically Inactive
PA00323,Type12,Economically Inactive
PA00324,Type8,Service and Sales Workers
PA00325,Type7,"Cleaners, Labourers and Related Workers"
PA00326,Type15,Economically Inactive
PA00327,Type10,Clerical Support Workers
PA00328,Type3,"Legislators, Senior Officials & Managers"
PA00329,Type15,"Legislators, Senior Officials & Managers"
PA00330,Type3,Associate Professionals and Technicians
PA00330,Type12,Associate Professionals and Technicians
PA00331,Type8,Economically Inactive
PA00332,Type10,Economically Inactive
PA00333,Type13,Clerical Support Workers
PA00334,Type3,"Legislators, Senior Officials & Managers"
PA00335,Type15,Service and Sales Workers
PA00336,Type3,"Legislators, Senior Officials & Managers"
PA00336,Type6,"Legislators, Senior Officials & Managers"
PA00337,Type10,Economically Inactive
PA00338,Type10,Associate Professionals and Technicians
PA00339,Type9,Clerical Support Workers
PA00340,Type3,Economically Inactive
PA00341,Type12,Service and Sales Workers
PA00342,Type3,Economically Inactive
PA00343,Type5,Professionals
PA00344,Type3,"Legislators, Senior Officials & Managers"
PA00345,Type13,"Legislators, Senior Officials & Managers"
PA00346,Type13,Others
PA00347,Type12,Economically Inactive
PA00348,Type12,Economically Inactive
PA00349,Type11,Economically Inactive
PA00350,Type13,Economically Inactive
PA00351,Type12,Economically Inactive
PA00352,Type3,Economically Inactive
PA00352,Type15,Economically Inactive
PA00352,Type12,Economically Inactive
PA00353,Type12,Others
PA00353,Type11,Others
PA00354,Type12,"Legislators, Senior Officials & Managers"
PA00355,Type8,Associate Professionals and Technicians
PA00356,Type12,Associate Professionals and Technicians
PA00357,Type15,Clerical Support Workers
PA00358,Type7,Economically Inactive
PA00359,Type11,Economically Inactive
PA00360,Type2,"Legislators, Senior Officials & Managers"
PA00361,Type1,Service and Sales Workers
PA00362,Type3,Service and Sales Workers
PA00362,Type12,Service and Sales Workers
PA00363,Type3,"Legislators, Senior Officials & Managers"
PA00364,Type15,Economically Inactive
PA00365,Type15,Service and Sales Workers
PA00366,Type3,Economically Inactive
PA00367,Type12,"Legislators, Senior Officials & Managers"
PA00368,Type12,Economically Inactive
PA00369,Type12,Economically Inactive
PA00370,Type12,Economically Inactive
PA00371,Type10,Economically Inactive
PA00372,Type6,Craftsmen and Related Trades Workers
PA00373,Type12,"Legislators, Senior Officials & Managers"
PA00374,Type3,Economically Inactive
PA00375,Type13,Economically Inactive
PA00375,Type5,Economically Inactive
PA00376,Type15,Economically Inactive
PA00377,Type12,"Legislators, Senior Officials & Managers"
PA00378,Type15,Clerical Support Workers
PA00379,Type6,Professionals
PA00380,Type15,Clerical Support Workers
PA00381,Type10,"Legislators, Senior Officials & Managers"
PA00382,Type13,Associate Professionals and Technicians
PA00382,Type12,Associate Professionals and Technicians
PA00382,Type3,Associate Professionals and Technicians
PA00382,Type6,Associate Professionals and Technicians
PA00383,Type15,Economically Inactive
PA00384,Type1,Service and Sales Workers
PA00385,Type15,Economically Inactive
PA00386,Type5,"Legislators, Senior Officials & Managers"
PA00387,Type5,"Legislators, Senior Officials & Managers"
PA00387,Type13,"Legislators, Senior Officials & Managers"
PA00388,Type15,Economically Inactive
PA00388,Type12,Economically Inactive
PA00389,Type7,Economically Inactive
PA00390,Type12,Associate Professionals and Technicians
PA00390,Type12,Associate Professionals and Technicians
PA00391,Type3,Associate Professionals and Technicians
PA00392,Type3,Clerical Support Workers
PA00393,Type10,Economically Inactive
PA00394,Type12,Economically Inactive
PA00395,Type11,Economically Inactive
PA00396,Type14,Professionals
PA00397,Type1,Service and Sales Workers
PA00398,Type15,Economically Inactive
PA00399,Type12,Clerical Support Workers
PA00400,Type15,Economically Inactive
PA00401,Type5,"Legislators, Senior Officials & Managers"
PA00401,Type12,"Legislators, Senior Officials & Managers"
PA00402,Type13,Service and Sales Workers
PA00403,Type3,Others
PA00403,Type13,Others
PA00404,Type12,Associate Professionals and Technicians
PA00405,Type10,Economically Inactive
PA00406,Type12,Economically Inactive
PA00407,Type12,Economically Inactive
PA00408,Type11,Professionals
PA00409,Type7,Professionals
PA00410,Type13,Economically Inactive
PA00411,Type10,Economically Inactive
PA00412,Type10,"Legislators, Senior Officials & Managers"
PA00413,Type11,Economically Inactive
PA00414,Type10,"Legislators, Senior Officials & Managers"
PA00415,Type3,Clerical Support Workers
PA00416,Type5,Clerical Support Workers
PA00416,Type15,Clerical Support Workers
PA00417,Type12,Others
PA00418,Type10,Professionals
PA00419,Type2,Associate Professionals and Technicians
PA00419,Type10,Associate Professionals and Technicians
PA00420,Type11,Economically Inactive
PA00421,Type13,Economically Inactive
PA00422,Type3,Economically Inactive
PA00423,Type5,"Legislators, Senior Officials & Managers"
PA00423,Type13,"Legislators, Senior Officials & Managers"
PA00424,Type12,Economically Inactive
PA00425,Type5,Service and Sales Workers
PA00425,Type12,Service and Sales Workers
PA00425,Type11,Service and Sales Workers
PA00426,Type12,Economically Inactive
PA00427,Type12,Clerical Support Workers
PA00428,Type12,Clerical Support Workers
PA00429,Type13,"Legislators, Senior Officials & Managers"
PA00429,Type11,"Legislators, Senior Officials & Managers"
PA00430,Type7,Service and Sales Workers
PA00431,Type12,"Legislators, Senior Officials & Managers"
PA00432,Type5,Economically Inactive
PA00433,Type3,Economically Inactive
PA00433,Type12,Economically Inactive
PA00434,Type2,"Legislators, Senior Officials & Managers"
PA00435,Type12,Associate Professionals and Technicians
PA00436,Type8,Associate Professionals and Technicians
PA00437,Type11,Associate Professionals and Technicians
PA00438,Type8,Economically Inactive
PA00438,Type13,Economically Inactive
PA00439,Type5,Economically Inactive
PA00439,Type3,Economically Inactive
PA00439,Type6,Economically Inactive
PA00440,Type12,Service and Sales Workers
PA00441,Type8,Economically Inactive
PA00442,Type9,Economically Inactive
PA00443,Type3,Economically Inactive
PA00444,Type7,Economically Inactive
PA00445,Type12,"Legislators, Senior Officials & Managers"
PA00446,Type12,Service and Sales Workers
PA00447,Type10,"Legislators, Senior Officials & Managers"
PA00448,Type12,Professionals
PA00449,Type5,Service and Sales Workers
PA00449,Type12,Service and Sales Workers
PA00450,Type3,"Cleaners, Labourers and Related Workers"
PA00451,Type6,"Legislators, Senior Officials & Managers"
PA00451,Type12,"Legislators, Senior Officials & Managers"
PA00452,Type12,"Legislators, Senior Officials & Managers"
PA00452,Type11,"Legislators, Senior Officials & Managers"
PA00453,Type12,Economically Inactive
PA00454,Type2,"Legislators, Senior Officials & Managers"
PA00455,Type6,Associate Professionals and Technicians
PA00456,Type5,Clerical Support Workers
PA00456,Type2,Clerical Support Workers
PA00456,Type8,Clerical Support Workers
PA00457,Type6,Economically Inactive
PA00458,Type11,Economically Inactive
PA00459,Type12,Service and Sales Workers
PA00460,Type15,Economically Inactive
PA00461,Type12,Associate Professionals and Technicians
PA00462,Type12,Economically Inactive
PA00463,Type12,Service and Sales Workers
PA00464,Type3,Professionals
PA00465,Type8,Service and Sales Workers
PA00466,Type10,Associate Professionals and Technicians
PA00466,Type8,Associate Professionals and Technicians
PA00467,Type9,"Legislators, Senior Officials & Managers"
PA00468,Type9,"Legislators, Senior Officials & Managers"
PA00469,Type5,Associate Professionals and Technicians
PA00469,Type12,Associate Professionals and Technicians
PA00470,Type10,Professionals
PA00471,Type7,Economically Inactive
PA00472,Type10,"Legislators, Senior Officials & Managers"
PA00473,Type10,"Legislators, Senior Officials & Managers"
PA00474,Type11,Service and Sales Workers
PA00475,Type5,Associate Professionals and Technicians
PA00475,Type6,Associate Professionals and Technicians
PA00475,Type12,Associate Professionals and Technicians
PA00476,Type2,Economically Inactive
PA00477,Type9,Associate Professionals and Technicians
PA00478,Type12,Associate Professionals and Technicians
PA00479,Type3,Economically Inactive
PA00480,Type5,Clerical Support Workers
PA00481,Type15,Economically Inactive
PA00482,Type6,Professionals
PA00483,Type7,Economically Inactive
PA00484,Type7,Economically Inactive
PA00485,Type12,Economically Inactive
PA00486,Type10,"Legislators, Senior Officials & Managers"
PA00487,Type12,"Legislators, Senior Officials & Managers"
PA00487,Type6,"Legislators, Senior Officials & Managers"
PA00488,Type13,Economically Inactive
PA00489,Type12,Service and Sales Workers
PA00490,Type3,Economically Inactive
PA00491,Type11,Economically Inactive
PA00492,Type7,Economically Inactive
PA00493,Type12,Clerical Support Workers
PA00494,Type9,"Legislators, Senior Officials & Managers"
PA00495,Type12,Professionals
PA00496,Type11,Economically Inactive
PA00497,Type5,Clerical Support Workers
PA00497,Type12,Clerical Support Workers
PA00498,Type12,Clerical Support Workers
PA00499,Type10,Economically Inactive
PA00500,Type15,Economically Inactive
PA00501,Type13,Service and Sales Workers
PA00502,Type11,Associate Professionals and Technicians
PA00503,Type12,Economically Inactive
PA00504,Type10,"Legislators, Senior Officials & Managers"
PA00505,Type6,Service and Sales Workers
PA00505,Type12,Service and Sales Workers
PA00506,Type13,"Legislators, Senior Officials & Managers"
PA00507,Type12,"Legislators, Senior Officials & Managers"
PA00507,Type11,"Legislators, Senior Officials & Managers"
PA00507,Type5,"Legislators, Senior Officials & Managers"
PA00507,Type2,"Legislators, Senior Officials & Managers"
PA00507,Type3,"Legislators, Senior Officials & Managers"
PA00508,Type15,Economically Inactive
PA00509,Type6,Service and Sales Workers
PA00510,Type15,Economically Inactive
PA00511,Type12,Clerical Support Workers
PA00511,Type3,Clerical Support Workers
PA00511,Type6,Clerical Support Workers
PA00512,Type8,Service and Sales Workers
PA00513,Type8,Associate Professionals and Technicians
PA00514,Type13,Professionals
PA00515,Type15,Economically Inactive
PA00516,Type12,Economically Inactive
PA00517,Type6,"Legislators, Senior Officials & Managers"
PA00518,Type3,"Legislators, Senior Officials & Managers"
PA00518,Type6,"Legislators, Senior Officials & Managers"
PA00518,Type12,"Legislators, Senior Officials & Managers"
PA00518,Type14,"Legislators, Senior Officials & Managers"
PA00519,Type2,Professionals
PA00519,Type10,Professionals
PA00520,Type2,"Legislators, Senior Officials & Managers"
PA00521,Type1,Economically Inactive
PA00522,Type11,Economically Inactive
PA00523,Type13,Service and Sales Workers
PA00524,Type1,Craftsmen and Related Trades Workers
PA00524,Type11,Craftsmen and Related Trades Workers
PA00524,Type5,Craftsmen and Related Trades Workers
PA00525,Type5,Economically Inactive
PA00525,Type15,Economically Inactive
PA00526,Type12,Economically Inactive
PA00527,Type12,Service and Sales Workers
PA00528,Type15,Economically Inactive
PA00529,Type7,Professionals
PA00530,Type7,Economically Inactive
PA00531,Type13,"Legislators, Senior Officials & Managers"
PA00532,Type12,Associate Professionals and Technicians
PA00533,Type6,Associate Professionals and Technicians
PA00534,Type12,"Legislators, Senior Officials & Managers"
PA00535,Type13,Economically Inactive
PA00536,Type10,Professionals
PA00537,Type12,Economically Inactive
PA00538,Type8,Economically Inactive
PA00539,Type3,Clerical Support Workers
PA00539,Type10,Clerical Support Workers
PA00540,Type7,Economically Inactive
PA00541,Type5,"Legislators, Senior Officials & Managers"
PA00542,Type3,Economically Inactive
PA00543,Type10,Others
PA00543,Type5,Others
PA00544,Type13,Service and Sales Workers
PA00544,Type9,Service and Sales Workers
PA00545,Type12,Associate Professionals and Technicians
PA00545,Type3,Associate Professionals and Technicians
PA00546,Type5,Craftsmen and Related Trades Workers
